panel,contrast,cls,metric,delta,lo,hi,p,n,p_holm
Depth,last-4 - linear probe,IRF,AUPRC,0.10750724951452462,-0.03181196773990343,0.27129443326780056,0.1247750449910018,,
Depth,last-4 - linear probe,SRF,AUPRC,0.012339616513100782,0.0002736834603983941,0.04035336959315105,0.04359128174365127,,
Depth,last-4 - linear probe,PED,AUPRC,0.07065153617448305,0.00862833050324696,0.16462630759208208,0.012397520495900819,,
Depth,full FT - last-4,IRF,AUPRC,-0.005145388174769505,-0.044325712529940206,0.029861234690512887,0.9130173965206959,,
Depth,full FT - last-4,SRF,AUPRC,-0.00020203599972812292,-0.007816600108095545,0.006035451416374865,0.9622075584883023,,
Depth,full FT - last-4,PED,AUPRC,-0.0076228738957766495,-0.029178644152593327,0.007058473413397683,0.34833033393321333,,
Resolution,"384 - 224, linear probe",IRF,AUPRC,-0.06381222281985788,-0.19505293825315909,0.006795167257771749,0.08638272345530894,,
Resolution,"384 - 224, linear probe",SRF,AUPRC,-0.0037432820325582483,-0.05394461320911666,0.03290379189473981,0.8594281143771246,,
Resolution,"384 - 224, linear probe",PED,AUPRC,-0.037387877357136556,-0.15860490916254238,0.05207605787905542,0.7146570685862828,,
Resolution,"384 - 224, full FT",IRF,AUPRC,0.013875961419933858,-0.022827496290334596,0.03369427007384976,0.3255348930213957,,
Resolution,"384 - 224, full FT",SRF,AUPRC,-0.005656040084587199,-0.024784107214979215,0.003844176338172813,0.2463507298540292,,
Resolution,"384 - 224, full FT",PED,AUPRC,-0.009856759512007818,-0.03631001548992266,0.01383130172516167,0.42551489702059586,,
Resolution,"448 - 224, last-4",IRF,AUPRC,0.01507900523923189,-0.08638611244937607,0.10036061502028136,0.8326334733053389,,
Resolution,"448 - 224, last-4",SRF,AUPRC,-0.007251391082543912,-0.03280997523851211,0.003850983389495265,0.28514297140571887,,
Resolution,"448 - 224, last-4",PED,AUPRC,-0.04529959675709805,-0.12250917178849893,0.0011364658137307025,0.0623875224955009,,
Encoder,"RETFound - Sup-IN21k, LP",IRF,AUPRC,0.04261809639436798,-0.10703658394381398,0.27572230433956857,0.5890821835632873,,0.9630073985202959
Encoder,"RETFound - Sup-IN21k, LP",SRF,AUPRC,0.07104883641957749,0.016719247337949154,0.1692615234422395,0.0003999200159968006,,0.004799040191961607
Encoder,"RETFound - Sup-IN21k, LP",PED,AUPRC,0.08683774729294891,-0.014971326947136055,0.16546126947698583,0.10157968406318736,,0.40631873625274945
Encoder,"RETFound - Sup-IN21k, last-4",IRF,AUPRC,0.034060484730632945,-0.09777825285533902,0.16295845726660727,0.48150369926014797,,0.9630073985202959
Encoder,"RETFound - Sup-IN21k, last-4",SRF,AUPRC,0.052679909888203036,0.011904620819650779,0.13654767773886708,0.0003999200159968006,,0.004799040191961607
Encoder,"RETFound - Sup-IN21k, last-4",PED,AUPRC,0.07485698062319035,0.0037441847947464304,0.1945036578517005,0.03079384123175365,,0.15396920615876825
Encoder,"RETFound - MAE-IN1k, LP",IRF,AUPRC,0.2765750093381345,0.04221626197778191,0.49091406572793006,0.021195760847830435,,0.1271745650869826
Encoder,"RETFound - MAE-IN1k, LP",SRF,AUPRC,0.09563985598510005,0.02182562312958583,0.22709718997181083,0.0003999200159968006,,0.004799040191961607
Encoder,"RETFound - MAE-IN1k, LP",PED,AUPRC,0.14323771870553648,0.024471380903481305,0.21824480890639228,0.017996400719856028,,0.1259748050389922
Encoder,"RETFound - MAE-IN1k, last-4",IRF,AUPRC,0.05486779861751878,-0.03353965251724655,0.21167024592498587,0.20275944811037794,,0.6082783443311338
Encoder,"RETFound - MAE-IN1k, last-4",SRF,AUPRC,0.03644621574303497,0.008682960988870465,0.09727991378662973,0.0003999200159968006,,0.004799040191961607
Encoder,"RETFound - MAE-IN1k, last-4",PED,AUPRC,0.07942904047573696,0.00687399270243344,0.20595555330396137,0.012397520495900819,,0.09918016396720655
Patch crossing,448 - 224 on crossing scans,IRF,recall,-0.0727272727272727,-0.2051282051282051,0.0410958904109589,,55.0,
Patch crossing,448 - 224 on crossing scans,SRF,recall,-0.0714285714285715,-0.2439159891598916,0.0666666666666666,,56.0,
Patch crossing,448 - 224 on crossing scans,PED,recall,-0.0481927710843373,-0.1847826086956521,0.1014554163596167,,83.0,
